date,text,感情,エピソード
2025-03-12 13:19:54+00:00,最近節約のために外食は週1回までにしてるんだけど、週1のご褒美外食をマックなんかにしたくないという気持ちになってマックもうしばらく食べてない,,
2025-03-12 13:02:28+00:00,顔パックの汁まだまだあるのに捨てるの勿体無いな　せや絞って顔に塗ったろ　っていやったら顔べっちょべっちょになった　要らんことした,,
2025-03-12 11:29:04+00:00,今日こそ風呂に入るという固い意志(お湯張り中),,
2025-03-12 11:10:06+00:00,聴覚過敏になってるのに食洗機回すな,,
2025-03-12 11:09:53+00:00,食洗機うるさすぎる,,
2025-03-12 09:02:21+00:00,食うか,,
2025-03-12 09:02:18+00:00,飯空化,,
2025-03-12 09:02:15+00:00,おなかすいてきた,,
2025-03-11 10:52:55+00:00,家には帰ってこれたけど今から仕事できる気がしない　しんどすぎ,,
2025-03-11 10:26:29+00:00,アホ　コーヒー飲んだせいで吐き気がプラスれてしまった,,
2025-03-11 10:24:19+00:00,離脱症状とか違法薬物にしかないと思ってた　しんそい　今の俺見たらシャブ中だよ,,
2025-03-11 10:23:36+00:00,アイスコーヒー氷入れるの忘れて淹れたせいでただの少量ホットコーヒーになってしまった,,
2025-03-11 10:23:06+00:00,頭に響いて,,
2025-03-11 10:22:50+00:00,体のだるさと音がたまに響いてキィンってなるのえぐい　めまいもあります,,
2025-03-11 10:22:20+00:00,パン半分じゃなくて全部食ったとこなのに腹空きすぎて倒れそうな状態みたいになってる　かなりしんどい　帰れるかなこれ,,
2025-03-11 10:21:41+00:00,なんか飲み物買えばよかったのに買い忘れたのでその場で入れてくれるタイプの自販機のコーヒー飲んでる,,
2025-03-11 10:20:39+00:00,やばい　買い物しに来たんだけど離脱症状えぐくてめっちゃしんどい　普通に倒れそう　風邪で高熱出てる時みたいな感覚　熱はないけど,,
2025-03-11 08:54:42+00:00,筋トレ始めよかな……,,
2025-03-11 07:32:06+00:00,眠たいのに寝れね〜,,
2025-03-10 14:51:59+00:00,たかい https://t.co/ifj9rzGtLa,,
2025-03-10 13:12:41+00:00,コミッションで儲けた金を、北海道旅行の資金に貯めるか、ロリータ服を買うか、焼き肉を食うか……,,
2025-03-09 16:10:03+00:00,前にもIRIAMやったことあると思ってたけど気の所為だった　多分REALITYやわ,,
2025-03-09 16:04:29+00:00,入室,,
2025-03-09 16:04:23+00:00,しかも入出しましたとかまで出んのかよ　ひえ～～～～～恥ずかしい,,
2025-03-09 16:04:10+00:00,見る側も名前出るの恥ずかしすぎ,,
2025-03-09 16:02:32+00:00,依頼主のキャラ偵察のためにIRIAM始めたら匿名じゃなくて思いっきり名前出て死んだ　バレた,,
2025-03-09 14:17:57+00:00,うんちでた,,
2025-03-09 13:29:22+00:00,なんか外から照り焼きチキンの匂いする〜　もう一人暮らししてからずっと食ってないな　別に好きなわけじゃないけど　匂い嗅ぐと食いたくなるな,,
2025-03-09 13:25:36+00:00,ねてた,,
2025-03-08 23:12:15+00:00,なんか左親指のささくれ痕っぽいところオレンジになってて洗っても落ちないんだが https://t.co/8TWwfIvdms,,
2025-03-08 21:04:12+00:00,風呂入ってクレメンス,,
2025-03-08 21:04:06+00:00,顎にもデカニキビある　えーん,,
2025-03-08 20:57:20+00:00,顎の下にデカニキビできた　えーん,,
2025-03-08 19:55:56+00:00,イラストレーターは、イラストレーターという肩書への憧れがあるよね　プログラマーはもう無い　だって既になったし　そしてあんまカッコよくも高収入でもないことに気づいちゃったし,,
2025-03-08 19:55:20+00:00,プログラマーになりたいわけではないけど　プログラミングしてSNSを作りたいだけなんやけど,,
2025-03-08 19:51:44+00:00,きっちりスケジュール引くか月交代にするしかない,,
2025-03-08 19:51:16+00:00,フリーランスになるとしてもプログラマーにもなりたいしイラストレーターにもなりたい　やっぱ俺体が１つじゃ足りない,,
2025-03-08 19:50:46+00:00,プログラミング進めたいのでイラストレーターはしばらく休むが,,
2025-03-08 19:50:20+00:00,傷病手当は？（傷病手当は？）,,
2025-03-08 19:50:04+00:00,次コミッション開けるときは2000円前後にしたいわね～,,
2025-03-08 19:49:45+00:00,果たしてこれは価格がバカ安いからなのか、それとも俺の絵に価値があるのか,,
2025-03-08 19:49:03+00:00,受付3/1～8だけやからさすがに16日～にはプログラミングに戻れるやろ～と思ってたのに25日までコミッションの予定で埋まってしまった　オワタ　３月ほぼ全部コミッションやないか,,
2025-03-08 14:23:51+00:00,終われない,,
2025-03-08 14:23:45+00:00,キャラデザしてるんだけど　ほぼ完成したんだけどなんか足りない気がして一向に追われない,,
2025-03-08 13:56:17+00:00,仕事一段落したら風呂入ろ　と思ってたらもう２３時で草,,
2025-03-08 11:30:59+00:00,風呂入るか悩む　うんち今出たとこだし　汗も適度にかいてる　でも仕事が終わってない,,
2025-03-08 06:22:16+00:00,寝つき悪いのに寝たら15時起きで泣き,,
2025-03-07 16:50:40+00:00,ねれない,,
2025-03-07 15:59:02+00:00,金欲しい〜〜〜,,
2025-03-07 15:58:37+00:00,歯矯正してる人はもちろん金持ちすぎる,,
2025-03-07 15:58:21+00:00,髪染めたりピアスしたりネイルしたりしてる人普通に金持ちすぎる,,
2025-03-07 15:45:11+00:00,ベロ痛くて寝れん,,
2025-03-07 15:31:08+00:00,改めて見ると俺歯ガッタガタやな……,,
2025-03-07 15:29:01+00:00,なんか歯の数左右で違くね？と思ったけどガタガタの一番前の歯が左は前の歯でーすみたいな感じになってんのか,,
2025-03-07 15:26:31+00:00,歯並びっていうか歯の形がなんかとんがってないか？左は丸いのに　だからか？　なんやねんこの歯,,
2025-03-07 15:25:06+00:00,この歯💢💢💢　てか右の真ん中3つともガッタガタやな https://t.co/X2SYo0veov,,
2025-03-07 15:18:31+00:00,保険効かないのつらすぎる　舌が削られまくって痛いんだが,,
2025-03-07 15:18:07+00:00,マウスピースでも80万とかかかるの　つらい　お金に困ってるのに　つらい,,
2025-03-07 15:14:01+00:00,反対咬合も治したいよな〜　マウスピースで治る程度の歯並びの悪さだと思うんだけど、なんぼするんやろ,,
2025-03-07 15:06:09+00:00,右下の歯が内側に寄っててベロを削ってきて痛いのでそこだけ矯正したい　部分矯正ってできんのかな,,
2025-03-07 08:01:34+00:00,このままフリーランスになるか……？と考えているけど、正社員経験しといてよかった　メール(メッセージ)の書き方とかスケジュールの立て方がわかる,,
2025-03-07 07:42:09+00:00,クッキーちょっとあっためようとしたら焦げちゃった,,
2025-03-07 04:17:02+00:00,えーーーーーーーコーヒーメーカー解約できませんでしたって返ってきた　クソ,,
2025-03-06 17:02:26+00:00,夜食用にマグカップチキンラーメン買ったけどあんま美味しくないかも　不味くもないんだけど　なんかいちいち食いたくない程度の味だわ　やっぱなんか冷凍食品探すか……,,
2025-03-06 16:49:00+00:00,ベッド横の机に置いてたコップそのまま使ったら牛乳に埃浮きまくってオワタ,,
2025-03-06 12:31:30+00:00,冷凍チーズインハンバーグよ〜　ポテトも買ってみた https://t.co/TNCOuYcKxe,,
2025-03-06 05:12:47+00:00,そういえば市民税の申告したいのに源泉徴収票がまだ来てないんだよな　いつ来るんだ,,
2025-03-06 04:12:00+00:00,絞ったスポンジ作戦を　今度やります,,
2025-03-06 04:11:47+00:00,シミそばかす無いからファンデーションしなくていいやとか言ってたけど、自分の顔見てみたらわりと斑やな　なんか　傷跡が多い　自分の顔見たことなさすぎ芸人,,
2025-03-06 02:38:36+00:00,Apple Watchつけ忘れた日は漏れなく起きれない(Apple Watchの振動アラーム使ってる),,
2025-03-04 13:20:38+00:00,ふろあが,,
2025-03-04 10:03:45+00:00,タスクこなせたので今日こそ風呂入るか,,
2025-03-04 09:22:18+00:00,肉買いに行こうかと思ったけど雨降ってる　えーん　今日は諦めるか,,
2025-03-04 07:21:02+00:00,グラタン食べたい！と思ったけど肉がない　仕事終わったら買いに行くか,,
2025-03-04 02:18:34+00:00,誰でも行ける感じのポーズにするか……,,
2025-03-04 02:18:15+00:00,ご本人のXとかYouTube見てもキャラクターの説明全然無い　ﾋｴｰ,,
2025-03-04 02:17:51+00:00,ラフ描こうと思ったけどキャラクターの詳細がなんもないのでどんなポーズにすればいいかわからない　ｳｵｰ,,
2025-03-03 15:59:40+00:00,もう1週間入ってない　早いな https://t.co/d6Y6U67qOQ,,
2025-03-03 15:59:17+00:00,ケツ穴かゆ,,
2025-03-03 15:33:29+00:00,ヨッシャーギリラフ２枚目描けた　これで寝れるぞ～,,
2025-03-03 14:10:16+00:00,お腹いっぱいお茶飲みすぎてしゃっくり出てて死にそう　やばい死にそう　ゲロ出そう　めっちゃしんどい　死にそう,,
2025-03-03 11:50:59+00:00,豚キムチ作ったけどキムチだけ残っちゃった　結構いっぱい肉入れたのに,,
2025-03-03 10:13:29+00:00,ラフ１枚描けた～　おなかちゅいた,,
2025-03-03 06:49:12+00:00,ちょっと後で追加料金要りますとか書こう,,
2025-03-03 06:48:40+00:00,つなぐで何も考えずにキャラデザなかったら特徴を言ってねって書いてるんだけど、いざ来たらキャラデザやる時間が要ることに気づいてしまった,,
2025-03-03 05:56:07+00:00,買い物行ったら風強すぎてまたほっぺた痛くなった　えーん　とりあえずカイロ当ててみます,,
2025-03-03 03:59:39+00:00,うんち出そう,,
2025-03-02 12:36:26+00:00,姫路城マラソンのテレビやってるやん,,
2025-03-02 12:28:26+00:00,いやまだ間に合うんだけど　もう眠い,,
2025-03-02 12:21:59+00:00,収支報告してたらこんな時間,,
2025-03-02 12:21:49+00:00,風呂入りたいけど時間がもう遅い,,
